Datum,Opis transakcije,Znesek
2025-01-02,Mercator - tedenski nakup,-62.40
2025-01-03,Plača januar,+1850.00
2025-01-04,Netflix narocnina,-15.99
2025-01-05,Hofer - sadje in zelenjava,-18.75
2025-01-07,Bencinska crpalka Petrol,-54.20
2025-01-08,Lekarna Krka,-12.30
2025-01-10,Restavracija Stari Pisker,-27.50
2025-01-12,Avtobusna karta Ljubljana,-3.60
2025-01-14,Mercator - gospodinjstvo,-41.15
2025-01-15,Mesecna najemnina,-550.00
2025-01-17,Spotify narocnina,-9.99
2025-01-19,Hofer - vsakdanji nakup,-33.80
2025-01-21,Strinja - kosilo,-14.20
2025-01-23,Elektriko in plin racun,-88.50
2025-01-25,Bencinska crpalka OMV,-49.60
2025-01-26,Spletna knjigarna Emka,-22.00
2025-01-28,Mercator - nakup,-57.30
2025-01-29,Freelance placilo,+320.00
2025-01-30,Kino Kolosej,-10.00
2025-01-31,Fitnes center Viba,-29.00
