Datum,Opis transakcije,Znesek
2025-03-01,Mesecna najemnina,-550.00
2025-03-02,Plača marec,+1850.00
2025-03-03,Mercator - tedenski nakup,-66.20
2025-03-05,Hofer - sadje,-21.40
2025-03-06,Bencinska crpalka Petrol,-55.60
2025-03-07,Lekarna Prizma,-16.80
2025-03-09,Netflix narocnina,-15.99
2025-03-10,Restavracija Julija,-38.50
2025-03-11,Spotify narocnina,-9.99
2025-03-12,Avtobusna karta MO,-3.60
2025-03-14,Mercator - gospodinjstvo,-47.30
2025-03-15,Spletni nakup - oblacila,-89.00
2025-03-17,Kosilo v parku,-8.90
2025-03-18,Elektriko in ogrevanje,-91.00
2025-03-20,Hofer - nakup,-35.60
2025-03-21,Bencinska crpalka Mol,-48.30
2025-03-22,Fitnes center Viba,-29.00
2025-03-24,Mercator - nakup,-53.10
2025-03-25,Freelance placilo,+450.00
2025-03-27,Knjigarna Konzorcij,-34.00
2025-03-28,Kino Colosseum,-13.00
2025-03-29,Kosilo pri mami,-0.00
2025-03-30,Zdravniski pregled,-25.00
2025-03-31,Poklon prijatelju,-30.00
